card_id,qr_filename,qr_url,url
YSLC301,YSLC301.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC301.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC301
YSLC302,YSLC302.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC302.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC302
YSLC303,YSLC303.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC303.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC303
YSLC304,YSLC304.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC304.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC304
YSLC305,YSLC305.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC305.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC305
YSLC306,YSLC306.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC306.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC306
YSLC307,YSLC307.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC307.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC307
YSLC308,YSLC308.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC308.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC308
YSLC309,YSLC309.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC309.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC309
YSLC310,YSLC310.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC310.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC310
YSLC311,YSLC311.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC311.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC311
YSLC312,YSLC312.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC312.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC312
YSLC313,YSLC313.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC313.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC313
YSLC314,YSLC314.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC314.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC314
YSLC315,YSLC315.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC315.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC315
YSLC316,YSLC316.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC316.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC316
