card_id,qr_filename,qr_url,url
YSLC001,YSLC001.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC001.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC001
YSLC002,YSLC002.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC002.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC002
YSLC003,YSLC003.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC003.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC003
YSLC004,YSLC004.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC004.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC004
YSLC005,YSLC005.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC005.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC005
YSLC006,YSLC006.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC006.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC006
YSLC007,YSLC007.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC007.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC007
YSLC008,YSLC008.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC008.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC008
YSLC009,YSLC009.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC009.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC009
YSLC010,YSLC010.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC010.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC010
YSLC011,YSLC011.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC011.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC011
YSLC012,YSLC012.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC012.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC012
YSLC013,YSLC013.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC013.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC013
YSLC014,YSLC014.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC014.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC014
YSLC015,YSLC015.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC015.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC015
YSLC016,YSLC016.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC016.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC016
YSLC017,YSLC017.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC017.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC017
YSLC018,YSLC018.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC018.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC018
YSLC019,YSLC019.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC019.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC019
YSLC020,YSLC020.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC020.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC020
YSLC021,YSLC021.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC021.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC021
YSLC022,YSLC022.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC022.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC022
YSLC023,YSLC023.png,https://yolkshire-golden-yolk-qr.netlify.app/YSLC023.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC023
